Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2017-09-03,TTW,210,TPE,KIX,1,B1R,1,S34,false,,2017-09-03T06:40,,,,,,2017-09-03T10:20,2017-09-03T10:08,Airbus A320,,,MIDDLE,ECONOMY,LEISURE,,5411ef96-b782-4944-b6b6-a537d04868fa,b1569824-3183-4857-9eb7-644259fa9431,1a0ff314-4db9-43eb-aef0-59d40b78505b,05f38441-6e21-4f4f-8b90-f6ff8be5f037,,dd390a1f-e92a-4411-ab72-04db16d42030
2017-09-08,TTW,213,KIX,TPE,1,S36,1,B3,false,,2017-09-08T18:25,2017-09-08T18:46,,,,,2017-09-08T20:15,,Airbus A320,,,MIDDLE,ECONOMY,LEISURE,,8959f0d3-0868-48be-960e-15ffbf77fe14,b1569824-3183-4857-9eb7-644259fa9431,05f38441-6e21-4f4f-8b90-f6ff8be5f037,1a0ff314-4db9-43eb-aef0-59d40b78505b,,dd390a1f-e92a-4411-ab72-04db16d42030
2018-03-10,APJ,928,TPE,OKA,1,B5,,,false,,2018-03-10T17:55,,,,,,2018-03-10T20:25,,Airbus A320,,,WINDOW,ECONOMY,LEISURE,,a8570d15-299e-4822-9f47-28d56c4c9610,c8bc3ea0-b938-49b7-9e20-d7df59f9214f,1a0ff314-4db9-43eb-aef0-59d40b78505b,d4ed967f-b773-49bb-a56d-c61a323783f2,,dd390a1f-e92a-4411-ab72-04db16d42030
2018-03-13,APJ,921,OKA,TPE,D,,1,A4,false,,2018-03-13T08:30,,,,,,2018-03-13T09:10,,Airbus A320,,,WINDOW,ECONOMY,LEISURE,,15ea0e7b-e5f4-4084-be60-940f6c020140,c8bc3ea0-b938-49b7-9e20-d7df59f9214f,d4ed967f-b773-49bb-a56d-c61a323783f2,1a0ff314-4db9-43eb-aef0-59d40b78505b,,dd390a1f-e92a-4411-ab72-04db16d42030
2018-07-02,TGW,893,TPE,SIN,1,B7,2,,false,,2018-07-02T00:10,,,,,,2018-07-02T04:40,,Boeing 787-8,,,MIDDLE,ECONOMY,LEISURE,,866bf4e8-782a-4828-be0a-841d68d8ff12,446c3088-b05f-4f6f-8c7d-fa945859c8b7,1a0ff314-4db9-43eb-aef0-59d40b78505b,0408c509-a410-4361-806b-eebecfea9bc1,,4f948d40-962a-4fdf-b1d9-424282d24f76
2018-07-02,FIN,132,SIN,HEL,1,D47,2,,false,,2018-07-02T23:35,2018-07-02T23:39,,,,,2018-07-03T06:25,2018-07-03T05:59,Airbus A350-900,,27B,MIDDLE,ECONOMY,LEISURE,,2cef8909-d99b-4c95-ac13-fe220672295a,49e2db86-f4de-401f-b0e4-a3e80841af4c,0408c509-a410-4361-806b-eebecfea9bc1,561f2662-7b0f-4f72-b5bc-916f7b082f49,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2018-07-03,FIN,1145,HEL,WAW,2,31D,,,false,,2018-07-03T17:50,2018-07-03T17:53,,,,,2018-07-03T18:35,2018-07-03T18:20,Embraer 190,,16A,WINDOW,ECONOMY,LEISURE,,f148c11c-ad99-4005-8ae7-e76f4595d9c9,49e2db86-f4de-401f-b0e4-a3e80841af4c,561f2662-7b0f-4f72-b5bc-916f7b082f49,41299575-1cae-4232-8b04-40b8777b22fe,,fb807099-ea21-44f1-afb3-388faab25ae3
2018-07-05,WZZ,2468,WAW,BUD,A,38,2A,,false,,2018-07-05T06:25,,,,,,2018-07-05T07:40,2018-07-05T07:33,Airbus A320,,6D,AISLE,ECONOMY,LEISURE,,979eea14-4f15-4440-b832-1bc4c59dfa01,542af20e-6651-4d15-8163-bbc9712c8cfc,41299575-1cae-4232-8b04-40b8777b22fe,ecf6337c-c19c-4b75-a3f0-f627d629e6c0,,dd390a1f-e92a-4411-ab72-04db16d42030
2018-07-10,FIN,131,HEL,SIN,2,,1,,false,,2018-07-10T23:55,2018-07-11T03:25,,,,,2018-07-11T16:30,2018-07-11T19:40,Airbus A350-900,,,AISLE,ECONOMY,LEISURE,,65aa175c-c8df-4f50-b1f7-cb158c02dda6,49e2db86-f4de-401f-b0e4-a3e80841af4c,561f2662-7b0f-4f72-b5bc-916f7b082f49,0408c509-a410-4361-806b-eebecfea9bc1,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2018-07-11,FIN,1146,WAW,HEL,A,41,2,,false,,2018-07-11T19:25,2018-07-11T19:18,,,,,2018-07-11T22:05,2018-07-11T21:50,Embraer 190,,13A,WINDOW,ECONOMY,LEISURE,,114c67d1-1513-42a2-9a92-8f562019cbe0,49e2db86-f4de-401f-b0e4-a3e80841af4c,41299575-1cae-4232-8b04-40b8777b22fe,561f2662-7b0f-4f72-b5bc-916f7b082f49,,fb807099-ea21-44f1-afb3-388faab25ae3
2018-07-13,TGW,898,SIN,TPE,2,E4,1,B6,false,,2018-07-13T00:55,2018-07-13T01:03,,,,,2018-07-13T05:40,,Boeing 787-9,,,MIDDLE,ECONOMY,LEISURE,,49d6d85f-da63-418d-9a13-c284e49082c9,446c3088-b05f-4f6f-8c7d-fa945859c8b7,0408c509-a410-4361-806b-eebecfea9bc1,1a0ff314-4db9-43eb-aef0-59d40b78505b,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2018-08-23,FEA,6021,TSA,MZG,T1,,,,false,,2018-08-23T06:40,,,,,,2018-08-23T07:25,2018-08-23T07:27,McDonnell Douglas MD-83,,34E,WINDOW,ECONOMY,LEISURE,,8981f1a0-8d40-436b-a847-0d0bec661afb,3109d834-fcc2-4a5e-a3e3-b1f839614af2,9bd91845-9562-46d6-8851-76ee27cb14d4,05789f5f-be41-46d3-a2b6-5c8773379786,,1d993300-282d-4a9e-b55b-38755aa9c3a3
2018-08-25,UIA,8610,MZG,TSA,,6,T2,,false,,2018-08-25T17:30,2018-08-25T17:27,,,,,2018-08-25T18:20,2018-08-25T18:15,Airbus A321,,,WINDOW,ECONOMY,LEISURE,,a15ff76d-dc89-423a-8fbe-97fef495fd62,b3849d4c-a731-4cd9-95b1-0313a7548297,05789f5f-be41-46d3-a2b6-5c8773379786,9bd91845-9562-46d6-8851-76ee27cb14d4,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2018-11-08,TGW,892,TPE,CTS,1,B4,INTL,,false,,2018-11-08T11:30,2018-11-08T11:26,,,,,2018-11-08T16:05,2018-11-08T16:07,Boeing 787-8,,24F,AISLE,ECONOMY,LEISURE,,8318041e-81f1-4b51-8381-48d14fb2c608,446c3088-b05f-4f6f-8c7d-fa945859c8b7,1a0ff314-4db9-43eb-aef0-59d40b78505b,989b8d16-a970-4003-9c46-16b99b099848,,4f948d40-962a-4fdf-b1d9-424282d24f76
2018-11-13,TGW,893,CTS,TPE,INTL,67,1,B7,false,,2018-11-13T17:35,2018-11-13T17:25,,,,,2018-11-13T21:20,,Boeing 787-8,,,AISLE,ECONOMY,LEISURE,,36c0f8b4-53ce-4a09-8cf9-1d0def34d827,446c3088-b05f-4f6f-8c7d-fa945859c8b7,989b8d16-a970-4003-9c46-16b99b099848,1a0ff314-4db9-43eb-aef0-59d40b78505b,,4f948d40-962a-4fdf-b1d9-424282d24f76
2019-02-19,TTW,240,TPE,FUK,1,B1,I,,false,,2019-02-19T06:45,2019-02-19T06:32,,,,,2019-02-19T10:00,2019-02-19T09:48,Airbus A320,,26A,WINDOW,ECONOMY,LEISURE,,22922e51-2904-4fb3-8f9b-3389f81b4c50,b1569824-3183-4857-9eb7-644259fa9431,1a0ff314-4db9-43eb-aef0-59d40b78505b,5520f4e4-bd55-48ca-9bc3-9e97990329ca,,dd390a1f-e92a-4411-ab72-04db16d42030
2019-02-22,TTW,241,FUK,TPE,I,57,1,A1,false,,2019-02-22T10:55,2019-02-22T10:51,,,,,2019-02-22T12:40,2019-02-22T12:36,Airbus A320,,13E,MIDDLE,ECONOMY,LEISURE,,c2c67e53-e0a4-4cdf-be16-156eed6a1974,b1569824-3183-4857-9eb7-644259fa9431,5520f4e4-bd55-48ca-9bc3-9e97990329ca,1a0ff314-4db9-43eb-aef0-59d40b78505b,,dd390a1f-e92a-4411-ab72-04db16d42030
2019-07-23,CSH,802,TSA,PVG,T1,9,1,,false,,2019-07-23T12:40,2019-07-23T12:41,,,,,2019-07-23T14:55,2019-07-23T14:40,Boeing 787-9,,33B,MIDDLE,ECONOMY,LEISURE,,5036148b-f199-4722-8b10-5e7a935a536f,6015ddf0-50de-4ddc-b8fb-e219e8db78eb,9bd91845-9562-46d6-8851-76ee27cb14d4,94ecd389-4c82-477f-8502-261c27f5b6fa,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2019-07-23,CES,297,PVG,JFK,1,22,1,,false,,2019-07-23T20:20,2019-07-23T20:17,,,,,2019-07-23T23:15,,Boeing 777-300 ER,,42A,WINDOW,ECONOMY,LEISURE,,ae3bbcd1-1876-43d6-9ae4-5b66860eeee3,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,94ecd389-4c82-477f-8502-261c27f5b6fa,fc332185-4dde-4791-b449-0de5e83e47b9,,78eac566-1ad0-4ded-9979-9510dfde05f2
2019-08-17,CES,298,JFK,PVG,1,7,1,,false,,2019-08-17T01:45,,,,,,2019-08-18T04:40,2019-08-18T04:01,Boeing 777-300 ER,,42A,WINDOW,ECONOMY,LEISURE,,05901e45-f624-439d-bceb-5bf1b1d0200c,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,fc332185-4dde-4791-b449-0de5e83e47b9,94ecd389-4c82-477f-8502-261c27f5b6fa,,78eac566-1ad0-4ded-9979-9510dfde05f2
2019-08-18,CES,5007,PVG,TPE,1,216,2,D4,false,,2019-08-18T12:25,2019-08-18T12:24,,,,,2019-08-18T14:25,,Airbus A330-200,,62C,AISLE,ECONOMY,LEISURE,,b53c039c-c9fb-4b19-b520-f32cfeef8e76,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,94ecd389-4c82-477f-8502-261c27f5b6fa,1a0ff314-4db9-43eb-aef0-59d40b78505b,,b592e11d-fad7-492c-9c29-998f09eed93e
2020-01-16,TTW,301,TPE,MFM,1,B1R,,,false,,2020-01-16T06:35,2020-01-16T06:45,,,,,2020-01-16T08:30,2020-01-16T08:43,Airbus A320,,26E,MIDDLE,ECONOMY,LEISURE,,8c652392-2a24-4ce2-b503-c43410b22f14,b1569824-3183-4857-9eb7-644259fa9431,1a0ff314-4db9-43eb-aef0-59d40b78505b,102b8bd6-3406-42be-bce2-3abe5b3e2654,,dd390a1f-e92a-4411-ab72-04db16d42030
2020-01-19,CPA,468,HKG,TPE,1,2,1,B5,false,,2020-01-19T20:00,2020-01-19T20:29,,,,,2020-01-19T21:55,2020-01-19T22:07,Airbus A330-300,,12D,AISLE,BUSINESS,LEISURE,,cdde9dd3-aa19-42fc-8c29-96b747e5f589,8508d82c-f03a-4c99-88d8-46ede5aceb6d,7da61aa8-3d56-411b-8be5-50a198e86c60,1a0ff314-4db9-43eb-aef0-59d40b78505b,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2022-12-01,TTW,234,TPE,CTS,1,B1,,,false,,2022-12-01T05:55,2022-12-01T05:54,,,,,2022-12-01T10:30,,Airbus A320neo,,22A,WINDOW,ECONOMY,LEISURE,,d6f58c44-9115-450f-aef5-64d8bb3735c3,b1569824-3183-4857-9eb7-644259fa9431,1a0ff314-4db9-43eb-aef0-59d40b78505b,989b8d16-a970-4003-9c46-16b99b099848,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2022-12-04,TTW,235,CTS,TPE,,,1,B4,false,,2022-12-04T11:30,2022-12-04T11:30,,,,,2022-12-04T15:00,2022-12-04T15:46:57,Airbus A320neo,,10A,WINDOW,ECONOMY,LEISURE,,b9c8c212-ba63-4e89-8815-c87a8265de84,b1569824-3183-4857-9eb7-644259fa9431,989b8d16-a970-4003-9c46-16b99b099848,1a0ff314-4db9-43eb-aef0-59d40b78505b,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2023-02-25,XAX,379,TPE,KUL,1,A6,2,,false,,2023-02-25T15:35,2023-02-25T15:37,,,,,2023-02-25T20:20,,Airbus A330-300,,38J,AISLE,ECONOMY,LEISURE,,ece8dcf5-0842-469e-b22e-66badf56e949,5cd1215f-ac2d-4d2e-91ac-ace93a425aa5,1a0ff314-4db9-43eb-aef0-59d40b78505b,d0ed4e28-88b7-4a15-ba4e-bb366458975a,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2023-02-28,EVA,228,KUL,TPE,M,,2,C3,false,,2023-02-28T15:25,2023-02-28T15:36,,,,,2023-02-28T20:05,2023-02-28T20:07:32,Boeing 777-300 ER,,49J,MIDDLE,ECONOMY,LEISURE,,62b2def3-968d-41f8-9b4c-0e95975e8fea,d03c3f87-0c57-417d-b5b3-e9ac6342545b,d0ed4e28-88b7-4a15-ba4e-bb366458975a,1a0ff314-4db9-43eb-aef0-59d40b78505b,,78eac566-1ad0-4ded-9979-9510dfde05f2
2023-03-31,EVA,71,TPE,MUC,2,C1,2,I24,false,,2023-03-31T23:05,2023-03-31T23:14,,,,,2023-04-01T07:35,2023-04-01T08:18,Boeing 787-9,,28J,MIDDLE,ECONOMY,LEISURE,,51f4c5f2-59f0-4c3a-9f62-a1dc12791e4e,d03c3f87-0c57-417d-b5b3-e9ac6342545b,1a0ff314-4db9-43eb-aef0-59d40b78505b,fed9a584-f1e1-4a40-af94-ffbeda5c5f0e,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2023-04-10,EVA,66,VIE,TPE,3,D27,2,C2,false,,2023-04-10T12:30,2023-04-10T12:34,,,,,2023-04-11T06:30,2023-04-11T06:31,Boeing 787-9,,21J,MIDDLE,ECONOMY,LEISURE,,ad960666-927a-4cdc-a38f-a7c75509533b,d03c3f87-0c57-417d-b5b3-e9ac6342545b,f14d8bd3-c692-4468-a9c2-7c89ab7a4ce4,1a0ff314-4db9-43eb-aef0-59d40b78505b,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2023-10-06,EVA,217,TPE,KUL,2,C5R,1,,false,,2023-10-06T06:30,2023-10-06T06:48,,,,,2023-10-06T11:15,2023-10-06T11:15,Airbus A330-300,,35E,MIDDLE,ECONOMY,LEISURE,,c73f868e-9711-44d8-98ea-fbed25b63b45,d03c3f87-0c57-417d-b5b3-e9ac6342545b,1a0ff314-4db9-43eb-aef0-59d40b78505b,d0ed4e28-88b7-4a15-ba4e-bb366458975a,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2023-10-06,MXD,2108,KUL,PEN,1,,,,false,,2023-10-06T14:40,,,,,,2023-10-06T15:40,,Boeing 737-900ER,,7F,WINDOW,ECONOMY,LEISURE,,47a52fa5-ddff-41b4-99f2-7840dbab1c39,3c38d571-8e56-4420-ac57-9d98314ac1e3,d0ed4e28-88b7-4a15-ba4e-bb366458975a,757f81d8-ac0c-4864-b42b-b99c4778e5a1,,24012541-435d-4a27-af8a-4791336f1965
2023-10-09,MXD,2101,PEN,KUL,,,1,,false,,2023-10-09T10:00,2023-10-09T09:56:54,,,,,2023-10-09T11:00,,Boeing 737-800,,7F,WINDOW,ECONOMY,LEISURE,,15aab15c-897e-45a9-b69c-0a00d709b33b,3c38d571-8e56-4420-ac57-9d98314ac1e3,757f81d8-ac0c-4864-b42b-b99c4778e5a1,d0ed4e28-88b7-4a15-ba4e-bb366458975a,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2023-10-09,EVA,228,KUL,TPE,1,C32,2,C5,false,,2023-10-09T15:30,2023-10-09T15:32,,,,,2023-10-09T20:25,2023-10-09T20:30,Airbus A330-300,,38G,AISLE,ECONOMY,LEISURE,,a1027c51-38d6-4d5d-9e5b-6733c4e4963e,d03c3f87-0c57-417d-b5b3-e9ac6342545b,d0ed4e28-88b7-4a15-ba4e-bb366458975a,1a0ff314-4db9-43eb-aef0-59d40b78505b,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2023-11-17,TGW,898,TPE,NRT,1,B1R,1,36,false,,2023-11-17T06:40,2023-11-17T07:32,,,,,2023-11-17T10:45,,Boeing 787-9,,1C,AISLE,PREMIUM_ECONOMY,LEISURE,,9c7f86f2-10d6-4ed9-81f7-f0b52fccf224,446c3088-b05f-4f6f-8c7d-fa945859c8b7,1a0ff314-4db9-43eb-aef0-59d40b78505b,42cbe764-fc30-49b0-9e72-eca5f6c21767,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2023-11-21,JAL,809,NRT,TPE,2,71,2,D9,false,,2023-11-21T18:05,2023-11-21T18:08,,,,,2023-11-21T21:15,2023-11-21T20:58,Boeing 787-8,,3H,WINDOW,BUSINESS,LEISURE,,eb22c5e3-3372-4588-a74b-46edb4496f16,646d4d03-db09-45ee-8330-6af7d6dc61cd,42cbe764-fc30-49b0-9e72-eca5f6c21767,1a0ff314-4db9-43eb-aef0-59d40b78505b,,4f948d40-962a-4fdf-b1d9-424282d24f76
2024-02-27,TTW,214,TPE,OKJ,1,B2,,,false,,2024-02-27T11:10,2024-02-27T11:24,,,,,2024-02-27T14:35,,Airbus A320,,2B,MIDDLE,ECONOMY,LEISURE,,6de7d7de-30b4-4bba-bdda-bb121c4bb49a,b1569824-3183-4857-9eb7-644259fa9431,1a0ff314-4db9-43eb-aef0-59d40b78505b,1ab5f11c-2322-47ff-8ee1-5f2055e9fcfa,,dd390a1f-e92a-4411-ab72-04db16d42030
2024-03-03,CPA,567,KIX,HKG,1,14,1,,false,,2024-03-03T09:30,2024-03-03T09:28,,,,,2024-03-03T13:00,2024-03-03T12:47,Airbus A330-300,,61A,WINDOW,ECONOMY,LEISURE,,fc4b5552-d417-4a4a-9ce8-dd3a3f3e4466,8508d82c-f03a-4c99-88d8-46ede5aceb6d,05f38441-6e21-4f4f-8b90-f6ff8be5f037,7da61aa8-3d56-411b-8be5-50a198e86c60,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2024-03-03,CPA,402,HKG,TPE,1,23,1,B9,false,,2024-03-03T18:30,2024-03-03T18:26,,,,,2024-03-03T20:15,2024-03-03T21:25,Airbus A330-300,,16G,AISLE,BUSINESS,LEISURE,,e6e73701-e676-4be9-9f46-e15f20e2238a,8508d82c-f03a-4c99-88d8-46ede5aceb6d,7da61aa8-3d56-411b-8be5-50a198e86c60,1a0ff314-4db9-43eb-aef0-59d40b78505b,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2024-03-30,EVA,67,TPE,BKK,2,C7,,,false,,2024-03-30T08:40,2024-03-30T08:47,,,,,2024-03-30T11:40,2024-03-30T11:50,Boeing 777-300 ER,,48E,MIDDLE,ECONOMY,LEISURE,,f3e09964-33a3-46bf-998e-0a920a36daa4,d03c3f87-0c57-417d-b5b3-e9ac6342545b,1a0ff314-4db9-43eb-aef0-59d40b78505b,548d409f-68f7-4450-aaaf-87133919af6d,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-03-30,EVA,67,BKK,LHR,,,2,,false,,2024-03-30T13:00,2024-03-30T13:22,,,,,2024-03-30T19:20,2024-03-30T19:21,Boeing 777-300 ER,,48E,MIDDLE,ECONOMY,LEISURE,,c5bee045-c9b5-4449-94f9-be1779f38429,d03c3f87-0c57-417d-b5b3-e9ac6342545b,548d409f-68f7-4450-aaaf-87133919af6d,5a2a51a0-1a5b-42c9-b220-c61953fac034,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-04-07,EVA,88,CDG,TPE,1,30,2,C1,false,,2024-04-07T11:20,2024-04-07T12:04,,,,,2024-04-08T06:40,2024-04-08T07:06,Boeing 777-300 ER,,48A,WINDOW,ECONOMY,LEISURE,,86e0b888-446c-45af-b0e4-b79f457dd4c8,d03c3f87-0c57-417d-b5b3-e9ac6342545b,065a1318-77b6-4f77-98ce-95b9253f64a5,1a0ff314-4db9-43eb-aef0-59d40b78505b,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-06-08,EVA,227,TPE,KUL,2,C9,1,,false,,2024-06-08T09:30,2024-06-08T09:42,,,,,2024-06-08T14:15,2024-06-08T14:25,Boeing 777-300 ER,,22G,AISLE,PREMIUM_ECONOMY,LEISURE,,3fbf15a9-4ca4-4849-a08f-e313d8211204,d03c3f87-0c57-417d-b5b3-e9ac6342545b,1a0ff314-4db9-43eb-aef0-59d40b78505b,d0ed4e28-88b7-4a15-ba4e-bb366458975a,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-06-11,XAX,378,KUL,TPE,2,Q6,1,A6,false,,2024-06-11T09:30,2024-06-11T09:26,,,,,2024-06-11T14:25,2024-06-11T14:43,Airbus A330-300,,50H,AISLE,ECONOMY,LEISURE,,0f13f3cc-3980-45e3-9136-e38324a33acb,5cd1215f-ac2d-4d2e-91ac-ace93a425aa5,d0ed4e28-88b7-4a15-ba4e-bb366458975a,1a0ff314-4db9-43eb-aef0-59d40b78505b,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2024-11-01,AXM,1511,TPE,BKI,1,A7,1,,false,,2024-11-01T10:05,2024-11-01T10:15,,,,,2024-11-01T13:35,2024-11-01T13:29,Airbus A320neo,,19D,AISLE,ECONOMY,LEISURE,,bcaa811d-d9b1-4cf9-aaa9-d45424789304,ee0741e6-30f0-4206-a176-bb97096e040c,1a0ff314-4db9-43eb-aef0-59d40b78505b,4fd32071-5fbe-4686-92e4-4f1d9ae449fd,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2024-11-04,AXM,1510,BKI,TPE,1,B3B,1,A8,false,,2024-11-04T06:05,2024-11-04T06:05,,,,,2024-11-04T09:25,2024-11-04T09:31,Airbus A320,,11A,WINDOW,ECONOMY,LEISURE,,5fdbbfba-4e6e-4d67-9faa-da3f425194d9,ee0741e6-30f0-4206-a176-bb97096e040c,4fd32071-5fbe-4686-92e4-4f1d9ae449fd,1a0ff314-4db9-43eb-aef0-59d40b78505b,,dd390a1f-e92a-4411-ab72-04db16d42030
